work_key,author,source_site,page_title,page_url,birth_year,death_year,target,decision_reason,extraction_method,song_context,evidence_text,status
不詳/東人之文四六,崔瀣,wikisource,,,,,,,,False,,missing_page
不詳/東人之文四六,崔瀣,wikipedia,,,,,,,,False,,missing_page
不詳/東湖探梅,李石,wikisource,Author:李石,https://zh.wikisource.org/wiki/Author:%E6%9D%8E%E7%9F%B3,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/東湖探梅,李石,wikipedia,李石,https://zh.wikipedia.org/wiki/%E6%9D%8E%E7%9F%B3,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/東溪試茶錄,子安,wikisource,,,,,,,,False,,missing_page
不詳/東溪試茶錄,子安,wikisource,,,,,,,,False,,missing_page
不詳/東溪試茶錄,子安,wikipedia,子安,https://zh.wikipedia.org/wiki/%E5%AD%90%E5%AE%89,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/東溪試茶錄序,朱子安,wikisource,,,,,,,,False,,missing_page
不詳/東溪試茶錄序,朱子安,wikisource,,,,,,,,False,,missing_page
不詳/東溪試茶錄序,朱子安,wikipedia,,,,,,,,False,,missing_page
不詳/東谷隨筆,李之彥,wikisource,,,,,,,,False,,missing_page
不詳/東谷隨筆,李之彥,wikisource,,,,,,,,False,,missing_page
不詳/東谷隨筆,李之彥,wikipedia,,,,,,,,False,,missing_page
不詳/松漠紀聞,洪皓,wikisource,Author:洪皓,https://zh.wikisource.org/wiki/Author:%E6%B4%AA%E7%9A%93,1088,1155,南宋,death_year_1155_gt_1127,categories,True,1088年出生；1155年逝世,resolved
不詳/松漠紀聞續,洪皓,wikisource,Author:洪皓,https://zh.wikisource.org/wiki/Author:%E6%B4%AA%E7%9A%93,1088,1155,南宋,death_year_1155_gt_1127,categories,True,1088年出生；1155年逝世,resolved
不詳/松漠紀聞補遺,洪皓,wikisource,Author:洪皓,https://zh.wikisource.org/wiki/Author:%E6%B4%AA%E7%9A%93,1088,1155,南宋,death_year_1155_gt_1127,categories,True,1088年出生；1155年逝世,resolved
不詳/林泉高致集,郭思,wikisource,,,,,,,,False,,missing_page
不詳/林泉高致集,郭思,wikisource,,,,,,,,False,,missing_page
不詳/林泉高致集,郭思,wikipedia,郭思,https://zh.wikipedia.org/wiki/%E9%83%AD%E6%80%9D,,,,not_song_context,no_dates,False,,rejected_non_song_or_disambiguation
不詳/梅 (王淇),王淇,wikisource,,,,,,,,False,,missing_page
不詳/梅 (王淇),王淇,wikisource,,,,,,,,False,,missing_page
不詳/梅 (王淇),王淇,wikipedia,,,,,,,,False,,missing_page
不詳/梅品,張功甫,wikisource,,,,,,,,False,,missing_page
不詳/梅品,張功甫,wikisource,,,,,,,,False,,missing_page
不詳/梅品,張功甫,wikipedia,張鎡,https://zh.wikipedia.org/wiki/%E5%BC%B5%E9%8E%A1,1153,,南宋,birth_year_1153_ge_1127_death_unknown,categories,True,1153年出生,resolved
不詳/梅堯臣集,梅聖俞,wikisource,,,,,,,,False,,missing_page
不詳/梅堯臣集,梅聖俞,wikisource,,,,,,,,False,,missing_page
