priority,reason,work_key,authors,unresolved_authors,resolved_targets,file_count,titles,target,note
low,no_author_candidate,不詳/易小傳,,,,12,易小傳 | 易小傳__juan_01.txt | 易小傳/卷一上 | 易小傳__juan_02.txt | 易小傳/卷一下 | 易小傳__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/春暮,曹豳,曹豳,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/春暮遊小園,王淇,王淇,,1,,,
low,no_author_candidate,不詳/春秋左傳事類始末,,,,1,春秋左傳事類始末 | 春秋左傳事類始末__juan_01.txt | 春秋左傳事類始末/卷一,,
low,no_author_candidate,不詳/春秋左氏傳事類始末,,,,5,春秋左氏傳事類始末 | 春秋左氏傳事類始末__juan_01.txt | 春秋左氏傳事類始末/卷一 | 春秋左氏傳事類始末__juan_02.txt | 春秋左氏傳事類始末/卷二 | 春秋左氏傳事類始末__juan_03.txt,,
low,no_author_candidate,不詳/春秋王霸列國世紀編,,,,3,春秋王霸列國世紀編 | 春秋王霸列國世紀編__juan_01.txt | 春秋王霸列國世紀編/卷一 | 春秋王霸列國世紀編__juan_02.txt | 春秋王霸列國世紀編/卷二 | 春秋王霸列國世紀編__juan_03.txt,,
low,no_author_candidate,不詳/春秋胡氏傳,,,,30,春秋胡氏傳 | 春秋胡氏傳__juan_01.txt | 春秋胡氏傳/卷第一 | 春秋胡氏傳__juan_02.txt | 春秋胡氏傳/卷第七 | 春秋胡氏傳__juan_03.txt,,
low,no_author_candidate,不詳/春秋臣傳,,,,30,春秋臣傳 | 春秋臣傳__juan_01.txt | 春秋臣傳/卷一 | 春秋臣傳__juan_02.txt | 春秋臣傳/卷二 | 春秋臣傳__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/昭君怨 (万俟雅言),万俟雅言,万俟雅言,,1,,,
low,no_author_candidate,不詳/是齋百一選方,,,,20,是齋百一選方 | 是齋百一選方__juan_01.txt | 是齋百一選方/卷之一 | 是齋百一選方__juan_02.txt | 是齋百一選方/卷之七 | 是齋百一選方__juan_03.txt,,
low,one_or_more_authors_have_no_usable_date,不詳/景定嚴州續誌,方仁榮，鄭瑤,方仁榮，鄭瑤,,1,,,
low,one_or_more_authors_have_no_usable_date,不詳/暮春即事,葉采,葉采,,1,,,
low,no_author_candidate,不詳/書敘指南,,,,20,書敘指南 | 書敘指南__juan_01.txt | 書敘指南/卷一 | 書敘指南__juan_02.txt | 書敘指南/卷二 | 書敘指南__juan_03.txt,,
