source_title,relation,target,template
發,alt,活,zh-forms
發,zh-see,暴,zh-see
荫,zh-see,蔭,zh-see
荫,zh-see,廕,zh-see
螭,alt,彲,zh-forms
襴,s,襕,zh-forms
贰,zh-see,貳,zh-see
迪,alt,廸,zh-forms
鹿,alt,𢉖,zh-forms
鹿,alt,𮭱,zh-forms
俔,s,伣,zh-forms
俔,alt,悓,zh-forms
俔,zh-see,倪,zh-see
僾,s,𫣊,zh-forms
博,alt,卜,zh-forms
在,alt,扗,zh-forms
在,alt,才,zh-forms
在,alt,抂,zh-forms
在,alt,𡉄,zh-forms
在,alt,𡉈,zh-forms
在,alt,𡉠,zh-forms
在,alt,𥩴,zh-forms
坦,alt,憻,zh-forms
怀,Han simp:1,懷,Han simp
怀,zh-see,懷,zh-see
嫉,alt,疾,zh-forms
嫉,alt,愱,zh-forms
嫉,alt,㑵,zh-forms
嫉,alt,𡜍,zh-forms
嫉,alt,𢞱,zh-forms
忏,zh-see,懺,zh-see
思,alt,恖,zh-forms
思,alt,𢙦,zh-forms
思,alt,𠃼,zh-forms
思,alt,𡴓,zh-forms
思,alt,𠂺,zh-forms
思,alt,𢍄,zh-forms
怪,alt,𢘪,zh-forms
怪,alt,恠,zh-forms
恼,Han simp:1,惱,Han simp
恼,zh-see,惱,zh-see
悀,alt,愑,zh-forms
悖,alt,誖,zh-forms
悖,alt,𢨋,zh-forms
