page_number,final_label,initial_label,character,chars_raw,romanization,occurrence_count,manchu_script,source_chunk
7,iou,j,旧,旧,gio,5,ᡤᡳᠣ,旧 gio 5
7,iou,j,九,九,gio,2,ᡤᡳᠣ,九 gio 2
7,iou,q,求,求,kio,9,ᡴᡳᠣ,求 kio 9
7,iou,x,修,修,sio,,ᠰᡳᠣ,修 sio
7,iou,x,秀,秀,sio,,ᠰᡳᠣ,秀 sio
7,iou,y,有,有,io,128,ᡳᠣ,有 io 128
7,iou,y,友,友,io,17,ᡳᠣ,友 io 17
7,iou,y,又,又,io,42,ᡳᠣ,又 io 42
7,iou,y,由,由,io,6,ᡳᠣ,由 io 6
7,iou,y,遊,遊/游,io,2,ᡳᠣ,遊 / 游 io 2
7,iou,y,游,遊/游,io,2,ᡳᠣ,遊 / 游 io 2
7,iou,y,幼,幼,io,,ᡳᠣ,幼 io
7,iou,y,悠,悠,io,,ᡳᠣ,悠 io
7,er,∅,児,児,el,53,ᡝᠯ,児 el 53
7,er,∅,二,二,el,11,ᡝᠯ,二 el 11
7,er,∅,而,而,el,6,ᡝᠯ,而 el 6
7,er,∅,耳,耳,el,4,ᡝᠯ,耳 el 4
7,an,b,辧,辧,ban,2,ᠪᠠᠨ,辧 ban 2
7,an,b,班,班,ban,,ᠪᠠᠨ,班 ban
7,an,p,盼,盼,pan,2,ᡦᠠᠨ,盼 pan 2
7,an,f,飯,飯,fan,10,ᡶᠠᠨ,飯 fan 10
7,an,f,凡,凡,fan,8,ᡶᠠᠨ,凡 fan 8
7,an,f,反,反,fan,8,ᡶᠠᠨ,反 fan 8
7,an,f,煩,煩,fan,7,ᡶᠠᠨ,煩 fan 7
7,an,f,翻,翻/繙,fan,3,ᡶᠠᠨ,翻 / 繙 fan 3
7,an,f,繙,翻/繙,fan,3,ᡶᠠᠨ,翻 / 繙 fan 3
7,an,f,番,番,fan,,ᡶᠠᠨ,番 fan
7,an,m,滿,滿,man,5,ᠮᠠᠨ,滿 man 5
7,an,m,慢,慢,man,4,ᠮᠠᠨ,慢 man 4
7,an,m,瞞,瞞,man,3,ᠮᠠᠨ,瞞 man 3
7,an,m,埋,埋,man,,ᠮᠠᠨ,埋 man
7,an,d,但,但,dan,12,ᡩᠠᠨ,但 dan 12
7,an,d,躭,躭,dan,,ᡩᠠᠨ,躭 dan
7,an,d,淡,淡,dan,,ᡩᠠᠨ,淡 dan
7,an,d,担,担,dan,,ᡩᠠᠨ,担 dan
7,an,t,談,談,tan,3,ᡨᠠᠨ,談 tan 3
7,an,t,炭,炭,tan,,ᡨᠠᠨ,炭 tan
7,an,t,貪,貪,tan,,ᡨᠠᠨ,貪 tan
7,an,t,探,探,tan,,ᡨᠠᠨ,探 tan
7,an,n,難,難/难,nan,8,ᠨᠠᠨ,難 / 难 nan 8
7,an,n,难,難/难,nan,8,ᠨᠠᠨ,難 / 难 nan 8
7,an,l,爛,爛,lan,2,ᠯᠠᠨ,爛 lan 2
7,an,l,藍,藍,lan,,ᠯᠠᠨ,藍 lan
7,an,z,咱,咱,dza,12,ᡯᠠ,咱 dza 12
7,an,z,暫,暫,jan,,ᠵᠠᠨ,暫 jan
7,an,c,残,残,ts’an,,ᡨᠰᠠᠨ,残 ts’an
7,an,c,慚,慚,ts’an,,ᡨᠰᠠᠨ,慚 ts’an
7,an,c,参,参,ts’an,,ᡨᠰᠠᠨ,参 ts’an
7,an,s,三,三,san,5,ᠰᠠᠨ,三 san 5
7,an,s,散,散,san,,ᠰᠠᠨ,散 san
7,an,zh,佔,佔,jan,,ᠵᠠᠨ,佔 jan
7,an,zh,綻,綻,jan,,ᠵᠠᠨ,綻 jan
7,an,zh,沾,沾,jan,,ᠵᠠᠨ,沾 jan
7,an,zh,毡,毡,jan,,ᠵᠠᠨ,毡 jan
7,an,ch,産,産,can,,ᠴᠠᠨ,産 can
7,an,ch,革占,革占,can,,ᠴᠠᠨ,革占 can
7,an,sh,善,善,šan,3,ᡧᠠᠨ,善 šan 3
7,an,sh,山,山,šan,2,ᡧᠠᠨ,山 šan 2
7,an,r,然,然,žan,43,ᡰᠠᠨ,然 žan 43
